Satellite_Tag_Num,Project_Year,Project_Type,Project_Name,Location,Start_Transmission,End_Transmission,Data_Days,Seal_ID,NickName,Size,Sex,Other_tags,Handling,
24104,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,10/31/97,02/17/98,109,BA19,,A,M,,,
24102,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,11/01/97,11/17/97,16,B2AG,,A,F,,,
24111,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,11/01/97,09/29/98,332,B6AA,,A,F,,,
24106,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,11/01/97,05/25/98,205,B6AE,,A,F,,,
5412,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,11/02/97,02/06/98,96,BC39,,J,M,,,
24100,1990s,foraging,90s-00s-NWHI-movement-BS,PearlHermes,11/04/97,05/11/98,188,BK07,,A,F,,,
,,,,,,,,,,,,,,
34150,2000s,foraging,2000s-foraging MC,MHI,04/13/04,07/21/04,99,RR64,,J2,M,,04/13/04,
34874,2000s,foraging,2000s-foraging MC,MHI,11/29/05,06/13/06,196,R6AH,,A,M,,11/29/05,
34875,2000s,foraging,2000s-foraging MC,MHI,06/09/04,08/22/04,74,RI15,,W,F,,06/09/04,
34877,2000s,foraging,2000s-foraging MC,MHI,04/12/04,07/09/04,88,R5AU,,A,F,"5AT, 5AU",04/12/04,
42675,2000s,foraging,2000s-foraging MC,MHI,01/28/04,07/29/04,183,RR70,,J2,M,,01/27/04,
42676,2000s,foraging,2000s-foraging MC,MHI,09/07/06,09/23/06,16,RO42,,W,F,"O42, O43",09/07/06,
42677,2000s,foraging,2000s-foraging MC,MHI,08/24/04,12/08/04,106,RI11,,W,M,,08/24/04,
42678,2000s,foraging,2000s-foraging MC,MHI,02/19/04,07/18/04,150,RM38,,S3,M,,02/19/04,
42680,2000s,foraging,2000s-foraging MC,MHI,02/17/04,07/03/04,137,TT40,,A,M,"1AI, 2AQ, 2AT",02/14/04,
42682,2000s,foraging,2000s-foraging MC,MHI,07/06/04,12/15/04,162,TT40,,A,M,,07/05/04,
42683,2000s,foraging,2000s-foraging MC,MHI,05/03/04,08/12/04,101,RK02,,S4,M,"5AE, 5AF",05/03/04,
42684,2000s,foraging,2000s-foraging MC,MHI,02/23/04,04/22/04,59,T34M,,A,M,"2AZ, 2AW",02/23/04,
42681,2000s,foraging,2000s-foraging MC,MHI,05/04/04,08/16/04,104,RK03,,A,M,"6AA, 6AB",05/04/04,
72624,2000s,foraging,2000s-foraging MC,MHI,03/23/04,03/31/04,8,RK02,,A,M,,10/03/07,
73297,2000s,foraging,2000s-foraging MC,MHI,10/02/07,03/11/08,161,RB00,,W,F,,10/02/07,
73361,2000s,foraging,2000s-foraging MC,MHI,08/21/07,10/11/07,51,RB02,,W,M,,08/21/07,
73362,2000s,foraging,2000s-foraging MC,MHI,08/22/07,10/25/07,64,RV11,,S3,F,,08/20/07,
73364,2000s,foraging,2000s-foraging MC,MHI,08/09/07,11/03/07,86,R6AJ,,A,F,"6AJ, 6AK",08/09/07,
73367,2000s,foraging,2000s-foraging MC,MHI,08/09/07,11/23/07,106,RR64,,A,M,2BA,08/09/07,
73370,2000s,foraging,2000s-foraging MC,MHI,08/10/07,10/20/07,71,RO36,,J2,M,,08/10/07,
79749,2000s,foraging,2000s-foraging MC,MHI,06/10/08,09/06/08,88,Unk,,J ,M,,2008,
79750,2000s,foraging,2000s-foraging MC,MHI,06/15/08,12/30/08,198,Unk,,A,F,,,
,,,,,,,,,,,,,,
11424,2010s,foraging,CellTags-KW,MHI-Kauai,01/22/14,03/14/14,51,RK05,,A,M,,,
11799,2010s,foraging,CellTags-KW,MHI-Kauai,07/15/13,10/30/13,107,RV18,,A,M,,,
12879,2010s,foraging,CellTags-KW,MHI-Mol,02/01/14,05/20/14,108,R1KK,,S4,M,,,
12880,2010s,foraging,CellTags-KW,MHI-Oahu,02/08/14,05/02/14,83,R012,,A,M,,,
12899,2010s,foraging,CellTags-KW,MHI-Mol,02/01/14,05/09/14,97,RE70,,A,M,,,
44068970,2010s,foraging,CellTags-KW,MHI-Mol,06/02/11,10/05/11,125,RB02,,S,M,,,
44073713,2010s,foraging,CellTags-KW,MHI-Kauai,02/18/11,06/12/11,114,R018,,A,M,,,
44110683,2010s,foraging,CellTags-KW,MHI-Mol,08/24/12,11/05/12,73,RB02,,A,M,,,
44286250,2010s,foraging,CellTags-KW,MHI-Oahu,07/15/11,12/13/11,151,T21M,,A,M,,,
44286312,2010s,foraging,CellTags-KW,MHI-Oahu,01/23/12,05/29/12,127,RA12,,S,M,,,
44286332,2010s,foraging,CellTags-KW,MHI-Kauai,07/14/11,10/06/11,84,RW02,,S,M,,,
44319373,2010s,foraging,CellTags-KW,MHI-Oahu,09/04/12,02/03/13,152,RS00,,A,F,,,
44397842,2010s,foraging,CellTags-KW,MHI-Kauai,06/09/10,12/08/10,182,R018,,A,M,,,
